experiment,run_id,run_name,status,start_time,end_time,param__eval_end,param__eval_start,param__feature_count,param__fold,param__model,param__train_end,metric__average_precision,metric__brier,metric__mean_predicted_risk,metric__observed_delinquency_rate,metric__roc_auc,metric__top20_capture,param__config_id,param__max_depth,param__max_features,param__min_samples_leaf,param__learning_rate,param__min_child_weight,param__development_end,param__final_holdout,param__holdout_end,param__holdout_start,metric__calibration_in_the_large_error,metric__development_mean_roc_auc,metric__prevalence_baseline_brier,metric__roc_auc_drop_vs_development,param__calibration_days,param__calibration_method,param__development_only,metric__abs_calibration_gap,metric__ece_10bin,param__calibration_end,param__calibration_start,param__confirmatory_only,param__method
module4_model_tuning,451b392a688a4c57a7221bd974aa09db,xgboost_01_turn_of_month,FINISHED,2026-09-18 12:24:11.449000+00:00,2026-09-18 12:24:13.362000+00:00,,,12,turn_of_month,xgboost,,0.5345419719518375,0.10482806712388992,,,0.8201007731704791,0.5815036593479708,xgboost_01,3,,,0.05,5,,,,,,,,,,,,,,,,,
module4_model_tuning,ccab114560874361953d9a6017c50e30,xgboost_01_early_july,FINISHED,2026-09-18 12:24:13.412000+00:00,2026-09-18 12:24:15.783000+00:00,,,12,early_july,xgboost,,0.5452503768674354,0.1446370631456375,,,0.8435843124055084,0.5846964740094511,xgboost_01,3,,,0.05,5,,,,,,,,,,,,,,,,,
module4_model_tuning,51741363c61e484589c55b91b52fc12c,xgboost_02_late_june,FINISHED,2026-09-18 12:24:15.830000+00:00,2026-09-18 12:24:17.264000+00:00,,,12,late_june,xgboost,,0.7740956448171384,0.06891924142837524,,,0.920958409297543,0.7696259761611179,xgboost_02,4,,,0.05,5,,,,,,,,,,,,,,,,,
module4_model_tuning,2b1e4a32bb4d4358beefa21c8a933ee4,xgboost_02_turn_of_month,FINISHED,2026-09-18 12:24:17.309000+00:00,2026-09-18 12:24:19.474000+00:00,,,12,turn_of_month,xgboost,,0.5415732953775718,0.10432733595371246,,,0.8328562834783886,0.5925925925925926,xgboost_02,4,,,0.05,5,,,,,,,,,,,,,,,,,
module4_model_tuning,355b5f3986d641c9912286d5feb69e50,xgboost_02_early_july,FINISHED,2026-09-18 12:24:19.594000+00:00,2026-09-18 12:24:21.960000+00:00,,,12,early_july,xgboost,,0.5582100655373001,0.1463460475206375,,,0.8446886915106627,0.5877862595419847,xgboost_02,4,,,0.05,5,,,,,,,,,,,,,,,,,
module4_model_tuning,9b1209d4d01443daa5e0aeecd63fe19e,xgboost_03_late_june,FINISHED,2026-09-18 12:24:22.002000+00:00,2026-09-18 12:24:23.490000+00:00,,,12,late_june,xgboost,,0.7727633640858094,0.06968516111373901,,,0.9198785451893419,0.7681874229346486,xgboost_03,5,,,0.05,5,,,,,,,,,,,,,,,,,
module4_model_tuning,365af0f9d52b41b480e3814076dae76a,xgboost_03_turn_of_month,FINISHED,2026-09-18 12:24:23.537000+00:00,2026-09-18 12:24:25.662000+00:00,,,12,turn_of_month,xgboost,,0.5507935141744603,0.10305532813072205,,,0.8416578810027019,0.5994677312042581,xgboost_03,5,,,0.05,5,,,,,,,,,,,,,,,,,
module4_model_tuning,b9fb506e60e34cedb78f208ae3bdf807,xgboost_03_early_july,FINISHED,2026-09-18 12:24:25.713000+00:00,2026-09-18 12:24:28.387000+00:00,,,12,early_july,xgboost,,0.5624372592042186,0.14588749408721924,,,0.8447316160344235,0.5812431842966194,xgboost_03,5,,,0.05,5,,,,,,,,,,,,,,,,,
module4_model_tuning,e7dea4f93f5d46f7ba53e90514d62233,xgboost_04_late_june,FINISHED,2026-09-18 12:24:28.430000+00:00,2026-09-18 12:24:30.027000+00:00,,,12,late_june,xgboost,,0.7719593718595169,0.06900639832019806,,,0.9203829930026834,0.7688039457459926,xgboost_04,4,,,0.03,10,,,,,,,,,,,,,,,,,
module4_model_tuning,e68abab206b3479a88192311f695f792,xgboost_04_turn_of_month,FINISHED,2026-09-18 12:24:30.076000+00:00,2026-09-18 12:24:32.115000+00:00,,,12,turn_of_month,xgboost,,0.5383913887187821,0.1035526841878891,,,0.8286604690431498,0.5834996673320026,xgboost_04,4,,,0.03,10,,,,,,,,,,,,,,,,,
