case,holdout_index,quantile_target,observed_outcome,raw_risk,calibrated_risk,base_value,importance_rank,feature,feature_value,shap_value,abs_shap,direction
typical_risk,203,0.5,0,0.2691002274106743,0.10013440860215053,0.5000000000000002,10,medianamnt_ma_rech30,1539.0,-0.008561613612068815,0.008561613612068815,decreases predicted delinquency risk
typical_risk,203,0.5,0,0.2691002274106743,0.10013440860215053,0.5000000000000002,11,last_rech_amt_ma,1539.0,-0.005782425858857735,0.005782425858857735,decreases predicted delinquency risk
typical_risk,203,0.5,0,0.2691002274106743,0.10013440860215053,0.5000000000000002,12,rental30,675.39,-0.00564719286795888,0.00564719286795888,decreases predicted delinquency risk
high_risk,123,0.9,1,0.7094011787791482,0.47058823529411764,0.5000000000000002,1,rental30,12969.51,0.06614255519137983,0.06614255519137983,increases predicted delinquency risk
high_risk,123,0.9,1,0.7094011787791482,0.47058823529411764,0.5000000000000002,2,sumamnt_ma_rech90,2309.0,0.046806186442421766,0.046806186442421766,increases predicted delinquency risk
high_risk,123,0.9,1,0.7094011787791482,0.47058823529411764,0.5000000000000002,3,sumamnt_ma_rech30,770.0,0.042725825951565925,0.042725825951565925,increases predicted delinquency risk
high_risk,123,0.9,1,0.7094011787791482,0.47058823529411764,0.5000000000000002,4,cnt_ma_rech30,1.0,0.03914416236583854,0.03914416236583854,increases predicted delinquency risk
high_risk,123,0.9,1,0.7094011787791482,0.47058823529411764,0.5000000000000002,5,daily_decr90,1555.5,0.022373573658690898,0.022373573658690898,increases predicted delinquency risk
high_risk,123,0.9,1,0.7094011787791482,0.47058823529411764,0.5000000000000002,6,last_rech_date_ma,3.0,-0.01283483841681072,0.01283483841681072,decreases predicted delinquency risk
high_risk,123,0.9,1,0.7094011787791482,0.47058823529411764,0.5000000000000002,7,medianmarechprebal90,16.0,0.006217411771159906,0.006217411771159906,increases predicted delinquency risk
high_risk,123,0.9,1,0.7094011787791482,0.47058823529411764,0.5000000000000002,8,aon,638.0,-0.005484835913955759,0.005484835913955759,decreases predicted delinquency risk
high_risk,123,0.9,1,0.7094011787791482,0.47058823529411764,0.5000000000000002,9,daily_decr30,1544.65,0.0036933722180883103,0.0036933722180883103,increases predicted delinquency risk
high_risk,123,0.9,1,0.7094011787791482,0.47058823529411764,0.5000000000000002,10,cnt_ma_rech90,2.0,0.0019249256801776068,0.0019249256801776068,increases predicted delinquency risk
high_risk,123,0.9,1,0.7094011787791482,0.47058823529411764,0.5000000000000002,11,medianamnt_ma_rech30,770.0,-0.0009847329772662708,0.0009847329772662708,decreases predicted delinquency risk
high_risk,123,0.9,1,0.7094011787791482,0.47058823529411764,0.5000000000000002,12,last_rech_amt_ma,770.0,-0.00032242719213244577,0.00032242719213244577,decreases predicted delinquency risk
